player,line,team
Justin Bailey,Scratched,ANA
Nick Baptiste,Scratched,ANA
Zach Bogosian,IR4,ANA
Will Carrier,RW4,ANA
Daniel Catenacci,Scratched,ANA
Carlo Colaiacovo,Scratched,ANA
Nick Crawford,Scratched,ANA
Jerry D'Amigo,Scratched,ANA
Nicolas Deslauriers,IR3,ANA
Matt Donovan,Scratched,ANA
Jack Eichel,C2,ANA
Matt Ellis,Scratched,ANA
Tyler Ennis,IR5,ANA
Justin Falk,RD3,ANA
Hudson Fasching,Scratched,ANA
Taylor Fedun,LD3,ANA
Marcus Foligno,LW3,ANA
Cody Franson,RD2,ANA
Brian Gionta,RW3,ANA
Zemgus Girgensons,RW1,ANA
Josh Gorges,IR6,ANA
Derek Grant,LW2,ANA
Brendan Guhle,LD2,ANA
Alex Guptill,,ANA
Jochen Hecht,Scratched,ANA
Evander Kane,C4,ANA
Jason Kasdorf,,ANA
Rostislav Klesla,Scratched,ANA
Connor Knapp,Scratched,ANA
Dmitry Kulikov,IR2,ANA
Jacob Lagace,,ANA
Johan Larsson,C3,ANA
Robin Lehner,G1,ANA
Ville Leino,Scratched,ANA
Nathan Lieuwen,Scratched,ANA
Matt MacKenzie,,ANA
Andrey Makarov,Scratched,ANA
Jake McCabe,LD1,ANA
Cody McCormick,IR1,ANA
Matt Moulson,LW4,ANA
Casey Nelson,Scratched,ANA
Anders Nilsson,G2,ANA
Alex Nylander,Scratched,ANA
Eric O'Dell,Scratched,ANA
Cal O'Reilly,Scratched,ANA
Ryan O'Reilly,C1,ANA
Kyle Okposo,LW1,ANA
Linus Omark,Scratched,ANA
Dennis Persson,,ANA
Sam Reinhart,RW2,ANA
Rasmus Ristolainen,RD1,ANA
Evan Rodrigues,Scratched,ANA
Drew Schiestel,,ANA
Cole Schneider,Scratched,ANA
Michael Sdao,,ANA
Alexander Sulzer,Scratched,ANA
Kevin Sundher,,ANA
Paul Szczechura,Scratched,ANA
Shawn Szydlowski,,ANA
Jamie Tardif,Scratched,ANA
Linus Ullmark,Scratched,ANA
Justin Bailey,Scratched,ARI
Nick Baptiste,Scratched,ARI
Zach Bogosian,IR4,ARI
Will Carrier,RW4,ARI
Daniel Catenacci,Scratched,ARI
Carlo Colaiacovo,Scratched,ARI
Nick Crawford,Scratched,ARI
Jerry D'Amigo,Scratched,ARI
Nicolas Deslauriers,IR3,ARI
Matt Donovan,Scratched,ARI
Jack Eichel,C2,ARI
Matt Ellis,Scratched,ARI
Tyler Ennis,IR5,ARI
Justin Falk,RD3,ARI
Hudson Fasching,Scratched,ARI
Taylor Fedun,LD3,ARI
Marcus Foligno,LW3,ARI
Cody Franson,RD2,ARI
Brian Gionta,RW3,ARI
Zemgus Girgensons,RW1,ARI
Josh Gorges,IR6,ARI
Derek Grant,LW2,ARI
Brendan Guhle,LD2,ARI
Alex Guptill,,ARI
Jochen Hecht,Scratched,ARI
Evander Kane,C4,ARI
Jason Kasdorf,,ARI
Rostislav Klesla,Scratched,ARI
Connor Knapp,Scratched,ARI
Dmitry Kulikov,IR2,ARI
Jacob Lagace,,ARI
Johan Larsson,C3,ARI
Robin Lehner,G1,ARI
Ville Leino,Scratched,ARI
Nathan Lieuwen,Scratched,ARI
Matt MacKenzie,,ARI
Andrey Makarov,Scratched,ARI
Jake McCabe,LD1,ARI
Cody McCormick,IR1,ARI
Matt Moulson,LW4,ARI
Casey Nelson,Scratched,ARI
Anders Nilsson,G2,ARI
Alex Nylander,Scratched,ARI
Eric O'Dell,Scratched,ARI
Cal O'Reilly,Scratched,ARI
Ryan O'Reilly,C1,ARI
Kyle Okposo,LW1,ARI
Linus Omark,Scratched,ARI
Dennis Persson,,ARI
Sam Reinhart,RW2,ARI
Rasmus Ristolainen,RD1,ARI
Evan Rodrigues,Scratched,ARI
Drew Schiestel,,ARI
Cole Schneider,Scratched,ARI
Michael Sdao,,ARI
Alexander Sulzer,Scratched,ARI
Kevin Sundher,,ARI
Paul Szczechura,Scratched,ARI
Shawn Szydlowski,,ARI
Jamie Tardif,Scratched,ARI
Linus Ullmark,Scratched,ARI
Justin Bailey,Scratched,BOS
Nick Baptiste,Scratched,BOS
Zach Bogosian,IR4,BOS
Will Carrier,RW4,BOS
Daniel Catenacci,Scratched,BOS
Carlo Colaiacovo,Scratched,BOS
Nick Crawford,Scratched,BOS
Jerry D'Amigo,Scratched,BOS
Nicolas Deslauriers,IR3,BOS
Matt Donovan,Scratched,BOS
Jack Eichel,C2,BOS
Matt Ellis,Scratched,BOS
Tyler Ennis,IR5,BOS
Justin Falk,RD3,BOS
Hudson Fasching,Scratched,BOS
Taylor Fedun,LD3,BOS
Marcus Foligno,LW3,BOS
Cody Franson,RD2,BOS
Brian Gionta,RW3,BOS
Zemgus Girgensons,RW1,BOS
Josh Gorges,IR6,BOS
Derek Grant,LW2,BOS
Brendan Guhle,LD2,BOS
Alex Guptill,,BOS
Jochen Hecht,Scratched,BOS
Evander Kane,C4,BOS
Jason Kasdorf,,BOS
Rostislav Klesla,Scratched,BOS
Connor Knapp,Scratched,BOS
Dmitry Kulikov,IR2,BOS
Jacob Lagace,,BOS
Johan Larsson,C3,BOS
Robin Lehner,G1,BOS
Ville Leino,Scratched,BOS
Nathan Lieuwen,Scratched,BOS
Matt MacKenzie,,BOS
Andrey Makarov,Scratched,BOS
Jake McCabe,LD1,BOS
Cody McCormick,IR1,BOS
Matt Moulson,LW4,BOS
Casey Nelson,Scratched,BOS
Anders Nilsson,G2,BOS
Alex Nylander,Scratched,BOS
Eric O'Dell,Scratched,BOS
Cal O'Reilly,Scratched,BOS
Ryan O'Reilly,C1,BOS
Kyle Okposo,LW1,BOS
Linus Omark,Scratched,BOS
Dennis Persson,,BOS
Sam Reinhart,RW2,BOS
Rasmus Ristolainen,RD1,BOS
Evan Rodrigues,Scratched,BOS
Drew Schiestel,,BOS
Cole Schneider,Scratched,BOS
Michael Sdao,,BOS
Alexander Sulzer,Scratched,BOS
Kevin Sundher,,BOS
Paul Szczechura,Scratched,BOS
Shawn Szydlowski,,BOS
Jamie Tardif,Scratched,BOS
Linus Ullmark,Scratched,BOS
Justin Bailey,Scratched,BUF
Nick Baptiste,Scratched,BUF
Zach Bogosian,IR4,BUF
Will Carrier,RW4,BUF
Daniel Catenacci,Scratched,BUF
Carlo Colaiacovo,Scratched,BUF
Nick Crawford,Scratched,BUF
Jerry D'Amigo,Scratched,BUF
Nicolas Deslauriers,IR3,BUF
Matt Donovan,Scratched,BUF
Jack Eichel,C2,BUF
Matt Ellis,Scratched,BUF
Tyler Ennis,IR5,BUF
Justin Falk,RD3,BUF
Hudson Fasching,Scratched,BUF
Taylor Fedun,LD3,BUF
Marcus Foligno,LW3,BUF
Cody Franson,RD2,BUF
Brian Gionta,RW3,BUF
Zemgus Girgensons,RW1,BUF
Josh Gorges,IR6,BUF
Derek Grant,LW2,BUF
Brendan Guhle,LD2,BUF
Alex Guptill,,BUF
Jochen Hecht,Scratched,BUF
Evander Kane,C4,BUF
Jason Kasdorf,,BUF
Rostislav Klesla,Scratched,BUF
Connor Knapp,Scratched,BUF
Dmitry Kulikov,IR2,BUF
Jacob Lagace,,BUF
Johan Larsson,C3,BUF
Robin Lehner,G1,BUF
Ville Leino,Scratched,BUF
Nathan Lieuwen,Scratched,BUF
Matt MacKenzie,,BUF
Andrey Makarov,Scratched,BUF
Jake McCabe,LD1,BUF
Cody McCormick,IR1,BUF
Matt Moulson,LW4,BUF
Casey Nelson,Scratched,BUF
Anders Nilsson,G2,BUF
Alex Nylander,Scratched,BUF
Eric O'Dell,Scratched,BUF
Cal O'Reilly,Scratched,BUF
Ryan O'Reilly,C1,BUF
Kyle Okposo,LW1,BUF
Linus Omark,Scratched,BUF
Dennis Persson,,BUF
Sam Reinhart,RW2,BUF
Rasmus Ristolainen,RD1,BUF
Evan Rodrigues,Scratched,BUF
Drew Schiestel,,BUF
Cole Schneider,Scratched,BUF
Michael Sdao,,BUF
Alexander Sulzer,Scratched,BUF
Kevin Sundher,,BUF
Paul Szczechura,Scratched,BUF
Shawn Szydlowski,,BUF
Jamie Tardif,Scratched,BUF
Linus Ullmark,Scratched,BUF
Justin Bailey,Scratched,CAR
Nick Baptiste,Scratched,CAR
Zach Bogosian,IR4,CAR
Will Carrier,RW4,CAR
Daniel Catenacci,Scratched,CAR
Carlo Colaiacovo,Scratched,CAR
Nick Crawford,Scratched,CAR
Jerry D'Amigo,Scratched,CAR
Nicolas Deslauriers,IR3,CAR
Matt Donovan,Scratched,CAR
Jack Eichel,C2,CAR
Matt Ellis,Scratched,CAR
Tyler Ennis,IR5,CAR
Justin Falk,RD3,CAR
Hudson Fasching,Scratched,CAR
Taylor Fedun,LD3,CAR
Marcus Foligno,LW3,CAR
Cody Franson,RD2,CAR
Brian Gionta,RW3,CAR
Zemgus Girgensons,RW1,CAR
Josh Gorges,IR6,CAR
Derek Grant,LW2,CAR
Brendan Guhle,LD2,CAR
Alex Guptill,,CAR
Jochen Hecht,Scratched,CAR
Evander Kane,C4,CAR
Jason Kasdorf,,CAR
Rostislav Klesla,Scratched,CAR
Connor Knapp,Scratched,CAR
Dmitry Kulikov,IR2,CAR
Jacob Lagace,,CAR
Johan Larsson,C3,CAR
Robin Lehner,G1,CAR
Ville Leino,Scratched,CAR
Nathan Lieuwen,Scratched,CAR
Matt MacKenzie,,CAR
Andrey Makarov,Scratched,CAR
Jake McCabe,LD1,CAR
Cody McCormick,IR1,CAR
Matt Moulson,LW4,CAR
Casey Nelson,Scratched,CAR
Anders Nilsson,G2,CAR
Alex Nylander,Scratched,CAR
Eric O'Dell,Scratched,CAR
Cal O'Reilly,Scratched,CAR
Ryan O'Reilly,C1,CAR
Kyle Okposo,LW1,CAR
Linus Omark,Scratched,CAR
Dennis Persson,,CAR
Sam Reinhart,RW2,CAR
Rasmus Ristolainen,RD1,CAR
Evan Rodrigues,Scratched,CAR
Drew Schiestel,,CAR
Cole Schneider,Scratched,CAR
Michael Sdao,,CAR
Alexander Sulzer,Scratched,CAR
Kevin Sundher,,CAR
Paul Szczechura,Scratched,CAR
Shawn Szydlowski,,CAR
Jamie Tardif,Scratched,CAR
Linus Ullmark,Scratched,CAR
Justin Bailey,Scratched,CBJ
Nick Baptiste,Scratched,CBJ
Zach Bogosian,IR4,CBJ
Will Carrier,RW4,CBJ
Daniel Catenacci,Scratched,CBJ
Carlo Colaiacovo,Scratched,CBJ
Nick Crawford,Scratched,CBJ
Jerry D'Amigo,Scratched,CBJ
Nicolas Deslauriers,IR3,CBJ
Matt Donovan,Scratched,CBJ
Jack Eichel,C2,CBJ
Matt Ellis,Scratched,CBJ
Tyler Ennis,IR5,CBJ
Justin Falk,RD3,CBJ
Hudson Fasching,Scratched,CBJ
Taylor Fedun,LD3,CBJ
Marcus Foligno,LW3,CBJ
Cody Franson,RD2,CBJ
Brian Gionta,RW3,CBJ
Zemgus Girgensons,RW1,CBJ
Josh Gorges,IR6,CBJ
Derek Grant,LW2,CBJ
Brendan Guhle,LD2,CBJ
Alex Guptill,,CBJ
Jochen Hecht,Scratched,CBJ
Evander Kane,C4,CBJ
Jason Kasdorf,,CBJ
Rostislav Klesla,Scratched,CBJ
Connor Knapp,Scratched,CBJ
Dmitry Kulikov,IR2,CBJ
Jacob Lagace,,CBJ
Johan Larsson,C3,CBJ
Robin Lehner,G1,CBJ
Ville Leino,Scratched,CBJ
Nathan Lieuwen,Scratched,CBJ
Matt MacKenzie,,CBJ
Andrey Makarov,Scratched,CBJ
Jake McCabe,LD1,CBJ
Cody McCormick,IR1,CBJ
Matt Moulson,LW4,CBJ
Casey Nelson,Scratched,CBJ
Anders Nilsson,G2,CBJ
Alex Nylander,Scratched,CBJ
Eric O'Dell,Scratched,CBJ
Cal O'Reilly,Scratched,CBJ
Ryan O'Reilly,C1,CBJ
Kyle Okposo,LW1,CBJ
Linus Omark,Scratched,CBJ
Dennis Persson,,CBJ
Sam Reinhart,RW2,CBJ
Rasmus Ristolainen,RD1,CBJ
Evan Rodrigues,Scratched,CBJ
Drew Schiestel,,CBJ
Cole Schneider,Scratched,CBJ
Michael Sdao,,CBJ
Alexander Sulzer,Scratched,CBJ
Kevin Sundher,,CBJ
Paul Szczechura,Scratched,CBJ
Shawn Szydlowski,,CBJ
Jamie Tardif,Scratched,CBJ
Linus Ullmark,Scratched,CBJ
Justin Bailey,Scratched,CGY
Nick Baptiste,Scratched,CGY
Zach Bogosian,IR4,CGY
Will Carrier,RW4,CGY
Daniel Catenacci,Scratched,CGY
Carlo Colaiacovo,Scratched,CGY
Nick Crawford,Scratched,CGY
Jerry D'Amigo,Scratched,CGY
Nicolas Deslauriers,IR3,CGY
Matt Donovan,Scratched,CGY
Jack Eichel,C2,CGY
Matt Ellis,Scratched,CGY
Tyler Ennis,IR5,CGY
Justin Falk,RD3,CGY
Hudson Fasching,Scratched,CGY
Taylor Fedun,LD3,CGY
Marcus Foligno,LW3,CGY
Cody Franson,RD2,CGY
Brian Gionta,RW3,CGY
Zemgus Girgensons,RW1,CGY
Josh Gorges,IR6,CGY
Derek Grant,LW2,CGY
Brendan Guhle,LD2,CGY
Alex Guptill,,CGY
Jochen Hecht,Scratched,CGY
Evander Kane,C4,CGY
Jason Kasdorf,,CGY
Rostislav Klesla,Scratched,CGY
Connor Knapp,Scratched,CGY
Dmitry Kulikov,IR2,CGY
Jacob Lagace,,CGY
Johan Larsson,C3,CGY
Robin Lehner,G1,CGY
Ville Leino,Scratched,CGY
Nathan Lieuwen,Scratched,CGY
Matt MacKenzie,,CGY
Andrey Makarov,Scratched,CGY
Jake McCabe,LD1,CGY
Cody McCormick,IR1,CGY
Matt Moulson,LW4,CGY
Casey Nelson,Scratched,CGY
Anders Nilsson,G2,CGY
Alex Nylander,Scratched,CGY
Eric O'Dell,Scratched,CGY
Cal O'Reilly,Scratched,CGY
Ryan O'Reilly,C1,CGY
Kyle Okposo,LW1,CGY
Linus Omark,Scratched,CGY
Dennis Persson,,CGY
Sam Reinhart,RW2,CGY
Rasmus Ristolainen,RD1,CGY
Evan Rodrigues,Scratched,CGY
Drew Schiestel,,CGY
Cole Schneider,Scratched,CGY
Michael Sdao,,CGY
Alexander Sulzer,Scratched,CGY
Kevin Sundher,,CGY
Paul Szczechura,Scratched,CGY
Shawn Szydlowski,,CGY
Jamie Tardif,Scratched,CGY
Linus Ullmark,Scratched,CGY
Justin Bailey,Scratched,CHI
Nick Baptiste,Scratched,CHI
Zach Bogosian,IR4,CHI
Will Carrier,RW4,CHI
Daniel Catenacci,Scratched,CHI
Carlo Colaiacovo,Scratched,CHI
Nick Crawford,Scratched,CHI
Jerry D'Amigo,Scratched,CHI
Nicolas Deslauriers,IR3,CHI
Matt Donovan,Scratched,CHI
Jack Eichel,C2,CHI
Matt Ellis,Scratched,CHI
Tyler Ennis,IR5,CHI
Justin Falk,RD3,CHI
Hudson Fasching,Scratched,CHI
Taylor Fedun,LD3,CHI
Marcus Foligno,LW3,CHI
Cody Franson,RD2,CHI
Brian Gionta,RW3,CHI
Zemgus Girgensons,RW1,CHI
Josh Gorges,IR6,CHI
Derek Grant,LW2,CHI
Brendan Guhle,LD2,CHI
Alex Guptill,,CHI
Jochen Hecht,Scratched,CHI
Evander Kane,C4,CHI
Jason Kasdorf,,CHI
Rostislav Klesla,Scratched,CHI
Connor Knapp,Scratched,CHI
Dmitry Kulikov,IR2,CHI
Jacob Lagace,,CHI
Johan Larsson,C3,CHI
Robin Lehner,G1,CHI
Ville Leino,Scratched,CHI
Nathan Lieuwen,Scratched,CHI
Matt MacKenzie,,CHI
Andrey Makarov,Scratched,CHI
Jake McCabe,LD1,CHI
Cody McCormick,IR1,CHI
Matt Moulson,LW4,CHI
Casey Nelson,Scratched,CHI
Anders Nilsson,G2,CHI
Alex Nylander,Scratched,CHI
Eric O'Dell,Scratched,CHI
Cal O'Reilly,Scratched,CHI
Ryan O'Reilly,C1,CHI
Kyle Okposo,LW1,CHI
Linus Omark,Scratched,CHI
Dennis Persson,,CHI
Sam Reinhart,RW2,CHI
Rasmus Ristolainen,RD1,CHI
Evan Rodrigues,Scratched,CHI
Drew Schiestel,,CHI
Cole Schneider,Scratched,CHI
Michael Sdao,,CHI
Alexander Sulzer,Scratched,CHI
Kevin Sundher,,CHI
Paul Szczechura,Scratched,CHI
Shawn Szydlowski,,CHI
Jamie Tardif,Scratched,CHI
Linus Ullmark,Scratched,CHI
Justin Bailey,Scratched,COL
Nick Baptiste,Scratched,COL
Zach Bogosian,IR4,COL
Will Carrier,RW4,COL
Daniel Catenacci,Scratched,COL
Carlo Colaiacovo,Scratched,COL
Nick Crawford,Scratched,COL
Jerry D'Amigo,Scratched,COL
Nicolas Deslauriers,IR3,COL
Matt Donovan,Scratched,COL
Jack Eichel,C2,COL
Matt Ellis,Scratched,COL
Tyler Ennis,IR5,COL
Justin Falk,RD3,COL
Hudson Fasching,Scratched,COL
Taylor Fedun,LD3,COL
Marcus Foligno,LW3,COL
Cody Franson,RD2,COL
Brian Gionta,RW3,COL
Zemgus Girgensons,RW1,COL
Josh Gorges,IR6,COL
Derek Grant,LW2,COL
Brendan Guhle,LD2,COL
Alex Guptill,,COL
Jochen Hecht,Scratched,COL
Evander Kane,C4,COL
Jason Kasdorf,,COL
Rostislav Klesla,Scratched,COL
Connor Knapp,Scratched,COL
Dmitry Kulikov,IR2,COL
Jacob Lagace,,COL
Johan Larsson,C3,COL
Robin Lehner,G1,COL
Ville Leino,Scratched,COL
Nathan Lieuwen,Scratched,COL
Matt MacKenzie,,COL
Andrey Makarov,Scratched,COL
Jake McCabe,LD1,COL
Cody McCormick,IR1,COL
Matt Moulson,LW4,COL
Casey Nelson,Scratched,COL
Anders Nilsson,G2,COL
Alex Nylander,Scratched,COL
Eric O'Dell,Scratched,COL
Cal O'Reilly,Scratched,COL
Ryan O'Reilly,C1,COL
Kyle Okposo,LW1,COL
Linus Omark,Scratched,COL
Dennis Persson,,COL
Sam Reinhart,RW2,COL
Rasmus Ristolainen,RD1,COL
Evan Rodrigues,Scratched,COL
Drew Schiestel,,COL
Cole Schneider,Scratched,COL
Michael Sdao,,COL
Alexander Sulzer,Scratched,COL
Kevin Sundher,,COL
Paul Szczechura,Scratched,COL
Shawn Szydlowski,,COL
Jamie Tardif,Scratched,COL
Linus Ullmark,Scratched,COL
Justin Bailey,Scratched,DAL
Nick Baptiste,Scratched,DAL
Zach Bogosian,IR4,DAL
Will Carrier,RW4,DAL
Daniel Catenacci,Scratched,DAL
Carlo Colaiacovo,Scratched,DAL
Nick Crawford,Scratched,DAL
Jerry D'Amigo,Scratched,DAL
Nicolas Deslauriers,IR3,DAL
Matt Donovan,Scratched,DAL
Jack Eichel,C2,DAL
Matt Ellis,Scratched,DAL
Tyler Ennis,IR5,DAL
Justin Falk,RD3,DAL
Hudson Fasching,Scratched,DAL
Taylor Fedun,LD3,DAL
Marcus Foligno,LW3,DAL
Cody Franson,RD2,DAL
Brian Gionta,RW3,DAL
Zemgus Girgensons,RW1,DAL
Josh Gorges,IR6,DAL
Derek Grant,LW2,DAL
Brendan Guhle,LD2,DAL
Alex Guptill,,DAL
Jochen Hecht,Scratched,DAL
Evander Kane,C4,DAL
Jason Kasdorf,,DAL
Rostislav Klesla,Scratched,DAL
Connor Knapp,Scratched,DAL
Dmitry Kulikov,IR2,DAL
Jacob Lagace,,DAL
Johan Larsson,C3,DAL
Robin Lehner,G1,DAL
Ville Leino,Scratched,DAL
Nathan Lieuwen,Scratched,DAL
Matt MacKenzie,,DAL
Andrey Makarov,Scratched,DAL
Jake McCabe,LD1,DAL
Cody McCormick,IR1,DAL
Matt Moulson,LW4,DAL
Casey Nelson,Scratched,DAL
Anders Nilsson,G2,DAL
Alex Nylander,Scratched,DAL
Eric O'Dell,Scratched,DAL
Cal O'Reilly,Scratched,DAL
Ryan O'Reilly,C1,DAL
Kyle Okposo,LW1,DAL
Linus Omark,Scratched,DAL
Dennis Persson,,DAL
Sam Reinhart,RW2,DAL
Rasmus Ristolainen,RD1,DAL
Evan Rodrigues,Scratched,DAL
Drew Schiestel,,DAL
Cole Schneider,Scratched,DAL
Michael Sdao,,DAL
Alexander Sulzer,Scratched,DAL
Kevin Sundher,,DAL
Paul Szczechura,Scratched,DAL
Shawn Szydlowski,,DAL
Jamie Tardif,Scratched,DAL
Linus Ullmark,Scratched,DAL
Justin Bailey,Scratched,DET
Nick Baptiste,Scratched,DET
Zach Bogosian,IR4,DET
Will Carrier,RW4,DET
Daniel Catenacci,Scratched,DET
Carlo Colaiacovo,Scratched,DET
Nick Crawford,Scratched,DET
Jerry D'Amigo,Scratched,DET
Nicolas Deslauriers,IR3,DET
Matt Donovan,Scratched,DET
Jack Eichel,C2,DET
Matt Ellis,Scratched,DET
Tyler Ennis,IR5,DET
Justin Falk,RD3,DET
Hudson Fasching,Scratched,DET
Taylor Fedun,LD3,DET
Marcus Foligno,LW3,DET
Cody Franson,RD2,DET
Brian Gionta,RW3,DET
Zemgus Girgensons,RW1,DET
Josh Gorges,IR6,DET
Derek Grant,LW2,DET
Brendan Guhle,LD2,DET
Alex Guptill,,DET
Jochen Hecht,Scratched,DET
Evander Kane,C4,DET
Jason Kasdorf,,DET
Rostislav Klesla,Scratched,DET
Connor Knapp,Scratched,DET
Dmitry Kulikov,IR2,DET
Jacob Lagace,,DET
Johan Larsson,C3,DET
Robin Lehner,G1,DET
Ville Leino,Scratched,DET
Nathan Lieuwen,Scratched,DET
Matt MacKenzie,,DET
Andrey Makarov,Scratched,DET
Jake McCabe,LD1,DET
Cody McCormick,IR1,DET
Matt Moulson,LW4,DET
Casey Nelson,Scratched,DET
Anders Nilsson,G2,DET
Alex Nylander,Scratched,DET
Eric O'Dell,Scratched,DET
Cal O'Reilly,Scratched,DET
Ryan O'Reilly,C1,DET
Kyle Okposo,LW1,DET
Linus Omark,Scratched,DET
Dennis Persson,,DET
Sam Reinhart,RW2,DET
Rasmus Ristolainen,RD1,DET
Evan Rodrigues,Scratched,DET
Drew Schiestel,,DET
Cole Schneider,Scratched,DET
Michael Sdao,,DET
Alexander Sulzer,Scratched,DET
Kevin Sundher,,DET
Paul Szczechura,Scratched,DET
Shawn Szydlowski,,DET
Jamie Tardif,Scratched,DET
Linus Ullmark,Scratched,DET
Justin Bailey,Scratched,EDM
Nick Baptiste,Scratched,EDM
Zach Bogosian,IR4,EDM
Will Carrier,RW4,EDM
Daniel Catenacci,Scratched,EDM
Carlo Colaiacovo,Scratched,EDM
Nick Crawford,Scratched,EDM
Jerry D'Amigo,Scratched,EDM
Nicolas Deslauriers,IR3,EDM
Matt Donovan,Scratched,EDM
Jack Eichel,C2,EDM
Matt Ellis,Scratched,EDM
Tyler Ennis,IR5,EDM
Justin Falk,RD3,EDM
Hudson Fasching,Scratched,EDM
Taylor Fedun,LD3,EDM
Marcus Foligno,LW3,EDM
Cody Franson,RD2,EDM
Brian Gionta,RW3,EDM
Zemgus Girgensons,RW1,EDM
Josh Gorges,IR6,EDM
Derek Grant,LW2,EDM
Brendan Guhle,LD2,EDM
Alex Guptill,,EDM
Jochen Hecht,Scratched,EDM
Evander Kane,C4,EDM
Jason Kasdorf,,EDM
Rostislav Klesla,Scratched,EDM
Connor Knapp,Scratched,EDM
Dmitry Kulikov,IR2,EDM
Jacob Lagace,,EDM
Johan Larsson,C3,EDM
Robin Lehner,G1,EDM
Ville Leino,Scratched,EDM
Nathan Lieuwen,Scratched,EDM
Matt MacKenzie,,EDM
Andrey Makarov,Scratched,EDM
Jake McCabe,LD1,EDM
Cody McCormick,IR1,EDM
Matt Moulson,LW4,EDM
Casey Nelson,Scratched,EDM
Anders Nilsson,G2,EDM
Alex Nylander,Scratched,EDM
Eric O'Dell,Scratched,EDM
Cal O'Reilly,Scratched,EDM
Ryan O'Reilly,C1,EDM
Kyle Okposo,LW1,EDM
Linus Omark,Scratched,EDM
Dennis Persson,,EDM
Sam Reinhart,RW2,EDM
Rasmus Ristolainen,RD1,EDM
Evan Rodrigues,Scratched,EDM
Drew Schiestel,,EDM
Cole Schneider,Scratched,EDM
Michael Sdao,,EDM
Alexander Sulzer,Scratched,EDM
Kevin Sundher,,EDM
Paul Szczechura,Scratched,EDM
Shawn Szydlowski,,EDM
Jamie Tardif,Scratched,EDM
Linus Ullmark,Scratched,EDM
Justin Bailey,Scratched,FLA
Nick Baptiste,Scratched,FLA
Zach Bogosian,IR4,FLA
Will Carrier,RW4,FLA
Daniel Catenacci,Scratched,FLA
Carlo Colaiacovo,Scratched,FLA
Nick Crawford,Scratched,FLA
Jerry D'Amigo,Scratched,FLA
Nicolas Deslauriers,IR3,FLA
Matt Donovan,Scratched,FLA
Jack Eichel,C2,FLA
Matt Ellis,Scratched,FLA
Tyler Ennis,IR5,FLA
Justin Falk,RD3,FLA
Hudson Fasching,Scratched,FLA
Taylor Fedun,LD3,FLA
Marcus Foligno,LW3,FLA
Cody Franson,RD2,FLA
Brian Gionta,RW3,FLA
Zemgus Girgensons,RW1,FLA
Josh Gorges,IR6,FLA
Derek Grant,LW2,FLA
Brendan Guhle,LD2,FLA
Alex Guptill,,FLA
Jochen Hecht,Scratched,FLA
Evander Kane,C4,FLA
Jason Kasdorf,,FLA
Rostislav Klesla,Scratched,FLA
Connor Knapp,Scratched,FLA
Dmitry Kulikov,IR2,FLA
Jacob Lagace,,FLA
Johan Larsson,C3,FLA
Robin Lehner,G1,FLA
Ville Leino,Scratched,FLA
Nathan Lieuwen,Scratched,FLA
Matt MacKenzie,,FLA
Andrey Makarov,Scratched,FLA
Jake McCabe,LD1,FLA
Cody McCormick,IR1,FLA
Matt Moulson,LW4,FLA
Casey Nelson,Scratched,FLA
Anders Nilsson,G2,FLA
Alex Nylander,Scratched,FLA
Eric O'Dell,Scratched,FLA
Cal O'Reilly,Scratched,FLA
Ryan O'Reilly,C1,FLA
Kyle Okposo,LW1,FLA
Linus Omark,Scratched,FLA
Dennis Persson,,FLA
Sam Reinhart,RW2,FLA
Rasmus Ristolainen,RD1,FLA
Evan Rodrigues,Scratched,FLA
Drew Schiestel,,FLA
Cole Schneider,Scratched,FLA
Michael Sdao,,FLA
Alexander Sulzer,Scratched,FLA
Kevin Sundher,,FLA
Paul Szczechura,Scratched,FLA
Shawn Szydlowski,,FLA
Jamie Tardif,Scratched,FLA
Linus Ullmark,Scratched,FLA
Justin Bailey,Scratched,LAK
Nick Baptiste,Scratched,LAK
Zach Bogosian,IR4,LAK
Will Carrier,RW4,LAK
Daniel Catenacci,Scratched,LAK
Carlo Colaiacovo,Scratched,LAK
Nick Crawford,Scratched,LAK
Jerry D'Amigo,Scratched,LAK
Nicolas Deslauriers,IR3,LAK
Matt Donovan,Scratched,LAK
Jack Eichel,C2,LAK
Matt Ellis,Scratched,LAK
Tyler Ennis,IR5,LAK
Justin Falk,RD3,LAK
Hudson Fasching,Scratched,LAK
Taylor Fedun,LD3,LAK
Marcus Foligno,LW3,LAK
Cody Franson,RD2,LAK
Brian Gionta,RW3,LAK
Zemgus Girgensons,RW1,LAK
Josh Gorges,IR6,LAK
Derek Grant,LW2,LAK
Brendan Guhle,LD2,LAK
Alex Guptill,,LAK
Jochen Hecht,Scratched,LAK
Evander Kane,C4,LAK
Jason Kasdorf,,LAK
Rostislav Klesla,Scratched,LAK
Connor Knapp,Scratched,LAK
Dmitry Kulikov,IR2,LAK
Jacob Lagace,,LAK
Johan Larsson,C3,LAK
Robin Lehner,G1,LAK
Ville Leino,Scratched,LAK
Nathan Lieuwen,Scratched,LAK
Matt MacKenzie,,LAK
Andrey Makarov,Scratched,LAK
Jake McCabe,LD1,LAK
Cody McCormick,IR1,LAK
Matt Moulson,LW4,LAK
Casey Nelson,Scratched,LAK
Anders Nilsson,G2,LAK
Alex Nylander,Scratched,LAK
